epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2166.91,1.10609,1.16819,0.00746,0.66662,0.62932,0.64829,0.46167,1.11844,1.38113,0.01024,0.000637,0.000637,0.000637
112,2186.95,1.10336,1.1484,0.00745,0.73319,0.57713,0.64564,0.45851,1.12569,1.37719,0.01037,0.0006337,0.0006337,0.0006337
113,2206.58,1.10584,1.15218,0.00747,0.68108,0.61084,0.64676,0.46111,1.11768,1.3728,0.0102,0.0006304,0.0006304,0.0006304
114,2226.21,1.09806,1.14606,0.00749,0.66572,0.61791,0.64343,0.45837,1.12371,1.37261,0.01027,0.0006271,0.0006271,0.0006271
115,2246.08,1.10696,1.14248,0.00754,0.69133,0.61062,0.64278,0.45626,1.12316,1.36537,0.01029,0.0006238,0.0006238,0.0006238
116,2266.36,1.10595,1.1491,0.00745,0.6789,0.62885,0.64747,0.4601,1.12193,1.37418,0.01028,0.0006205,0.0006205,0.0006205
117,2286.08,1.09499,1.12342,0.00756,0.66578,0.61735,0.64792,0.46272,1.1275,1.35293,0.01038,0.0006172,0.0006172,0.0006172
118,2305.94,1.11225,1.14389,0.00745,0.6669,0.62008,0.65582,0.46731,1.12214,1.35942,0.01028,0.0006139,0.0006139,0.0006139
119,2325.47,1.10958,1.13447,0.00748,0.71479,0.60187,0.65462,0.46082,1.11868,1.36285,0.01029,0.0006106,0.0006106,0.0006106
120,2345.43,1.09839,1.11154,0.00755,0.67522,0.63175,0.65593,0.46335,1.12453,1.35912,0.01035,0.0006073,0.0006073,0.0006073
121,2365.53,1.11234,1.12572,0.00749,0.69013,0.61923,0.6537,0.4654,1.12764,1.36481,0.0104,0.000604,0.000604,0.000604
122,2385.48,1.1089,1.1157,0.00743,0.68302,0.61353,0.64737,0.45964,1.12646,1.36122,0.01038,0.0006007,0.0006007,0.0006007
123,2405.62,1.10464,1.12229,0.00741,0.67928,0.61935,0.65074,0.46222,1.11839,1.36137,0.0103,0.0005974,0.0005974,0.0005974
124,2425.93,1.10396,1.11484,0.00742,0.73169,0.58695,0.65906,0.46947,1.11625,1.3494,0.01029,0.0005941,0.0005941,0.0005941
125,2446.32,1.10334,1.09273,0.00747,0.70181,0.62097,0.65983,0.46816,1.12086,1.34794,0.01036,0.0005908,0.0005908,0.0005908
