epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1484.49,1.15069,1.35815,0.00799,0.68198,0.60068,0.64702,0.45677,1.10097,1.39496,0.01007,0.0002377,0.0002377,0.0002377
79,1503.38,1.14528,1.35524,0.00786,0.65622,0.6135,0.64761,0.46001,1.10228,1.39548,0.01011,0.0002278,0.0002278,0.0002278
80,1522.31,1.16232,1.35567,0.00784,0.63657,0.62157,0.64758,0.4581,1.10679,1.38111,0.01024,0.0002179,0.0002179,0.0002179
81,1541.12,1.14661,1.33097,0.00786,0.68201,0.60568,0.64831,0.45983,1.09887,1.39062,0.01012,0.000208,0.000208,0.000208
82,1559.99,1.14869,1.33606,0.00772,0.66026,0.60849,0.64693,0.45676,1.10687,1.38243,0.01017,0.0001981,0.0001981,0.0001981
83,1578.96,1.14462,1.3295,0.00792,0.66137,0.61326,0.6492,0.45985,1.10349,1.38485,0.01009,0.0001882,0.0001882,0.0001882
84,1597.81,1.1365,1.32933,0.00799,0.66935,0.60996,0.65114,0.46195,1.10005,1.38483,0.01011,0.0001783,0.0001783,0.0001783
85,1616.76,1.13946,1.31903,0.00786,0.64941,0.6236,0.65191,0.46115,1.10329,1.37759,0.01015,0.0001684,0.0001684,0.0001684
86,1635.6,1.14563,1.32957,0.00787,0.65389,0.60959,0.64988,0.46049,1.10234,1.37953,0.01009,0.0001585,0.0001585,0.0001585
87,1654.45,1.14822,1.32133,0.00791,0.64572,0.62462,0.65244,0.46242,1.10404,1.37309,0.01014,0.0001486,0.0001486,0.0001486
88,1673.41,1.1468,1.31192,0.00783,0.68911,0.5901,0.65053,0.46225,1.10459,1.37062,0.01012,0.0001387,0.0001387,0.0001387
89,1692.33,1.14903,1.31602,0.00779,0.67987,0.60101,0.65271,0.46249,1.10626,1.36676,0.01014,0.0001288,0.0001288,0.0001288
90,1711.23,1.15574,1.32362,0.00796,0.65456,0.6202,0.6528,0.46352,1.10433,1.36599,0.01012,0.0001189,0.0001189,0.0001189
91,1729.93,1.10841,1.23714,0.0084,0.63896,0.61984,0.64685,0.45646,1.11347,1.3837,0.01021,0.000109,0.000109,0.000109
92,1748.12,1.10465,1.2279,0.00841,0.63738,0.62349,0.65173,0.46021,1.11525,1.37216,0.01024,9.91e-05,9.91e-05,9.91e-05
93,1766.48,1.10188,1.22095,0.00819,0.63887,0.62027,0.65023,0.45912,1.11331,1.37149,0.01024,8.92e-05,8.92e-05,8.92e-05
94,1784.68,1.10037,1.22178,0.00821,0.62078,0.63759,0.65048,0.45774,1.11378,1.36744,0.01025,7.93e-05,7.93e-05,7.93e-05
95,1802.87,1.09939,1.21617,0.00829,0.63966,0.61609,0.65106,0.46041,1.11376,1.36969,0.01024,6.94e-05,6.94e-05,6.94e-05
96,1821.08,1.10445,1.20512,0.00825,0.63169,0.62506,0.65395,0.46314,1.11333,1.36787,0.01023,5.95e-05,5.95e-05,5.95e-05
97,1839.35,1.09996,1.21022,0.00829,0.64519,0.61512,0.65347,0.46182,1.11022,1.36616,0.0102,4.96e-05,4.96e-05,4.96e-05
98,1857.52,1.10316,1.20733,0.00834,0.61647,0.63867,0.65347,0.46071,1.1069,1.36894,0.01019,3.97e-05,3.97e-05,3.97e-05
99,1875.74,1.09004,1.2043,0.00826,0.63118,0.63194,0.6542,0.46031,1.10962,1.36414,0.01021,2.98e-05,2.98e-05,2.98e-05
100,1893.97,1.09922,1.21147,0.0083,0.6238,0.63933,0.65338,0.46361,1.10869,1.36538,0.01021,1.99e-05,1.99e-05,1.99e-05
